Restaurant,Borough,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA,Location
MIKADO,Manhattan,109,WEST   14 STREET,10011,2122559981,Japanese,8/20/2024,Violations were cited in the following area(s).,09B,Thawing procedure improper.,Not Critical,12,A,8/20/2024,4/22/2026,Cycle Inspection / Re-inspection,40.73760924,-73.99742353,104,03,008100,1014525,1007900028,MN13,POINT (-73.997423529217 40.737609235533)
TAQUERIA SAN PEDRO,Manhattan,3662,BROADWAY,10031,2124912644,Mexican,9/14/2022,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,17,B,9/14/2022,4/22/2026,Cycle Inspection / Re-inspection,40.83040284,-73.9475348,109,07,023700,1062176,1020830001,MN04,POINT (-73.947534800065 40.830402842925)
G & J PIZZERIA,Manhattan,188,EAST  104 STREET,10029,2123694800,Pizza,8/9/2018,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,Critical,21,B,8/9/2018,4/22/2026,Pre-permit (Operational) / Re-inspection,40.79038922,-73.94598828,111,08,016600,1051929,1016310040,MN33,POINT (-73.945988283387 40.79038922415)
BAR - (BD6130),Manhattan,4,PENN PLAZA,10121,2124656302,Bottled Beverages,3/4/2023,No violations were recorded at the time of this inspection.,,,Not Applicable,0,A,3/4/2023,4/22/2026,Cycle Inspection / Initial Inspection,40.75065484,-73.99194424,105,03,010100,1082908,1007810001,MN17,POINT (-73.991944239076 40.750654836632)
MANO'S PIZZERIA,Queens,62-98,FOREST AVENUE,11385,6319353683,Pizza,7/27/2022,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,13,A,7/27/2022,4/22/2026,Pre-permit (Operational) / Initial Inspection,40.71091014,-73.90517781,405,30,059500,4434070,4033700040,QN20,POINT (-73.9051778102 40.710910142714)
PAO DE QUEIJO & CO.,Queens,31-90,30 STREET,11106,7182041979,Brazilian,3/20/2023,Violations were cited in the following area(s).,09B,Thawing procedure improper.,Not Critical,13,A,3/20/2023,4/22/2026,Cycle Inspection / Re-inspection,40.76251611,-73.92605929,401,22,007500,4445865,4005880001,QN70,POINT (-73.92605928813 40.762516107761)
EL PATIO DE FELA,Manhattan,2253,3 AVENUE,10035,9174441363,Spanish,8/9/2024,Violations were cited in the following area(s).,04M,Live roaches in facility's food or non-food area.,Critical,13,A,8/9/2024,4/22/2026,Cycle Inspection / Re-inspection,40.80207178,-73.93698847,111,08,019400,1054626,1017870001,MN34,POINT (-73.936988471232 40.802071782442)
STARBUCKS,Queens,22-28,31 STREET,11105,7186266004,Coffee/Tea,4/3/2025,No violations were recorded at the time of this inspection.,,,Not Applicable,0,A,4/3/2025,4/22/2026,Cycle Inspection / Initial Inspection,40.77546382,-73.91151956,401,22,011500,4017618,4008440048,QN72,POINT (-73.911519560065 40.775463819991)
POCHANA,Queens,33-16,30 AVENUE,11103,7189569559,Thai,2/12/2025,Violations were cited in the following area(s).,09B,Thawing procedure improper.,Not Critical,13,A,2/12/2025,4/22/2026,Cycle Inspection / Re-inspection,40.76603876,-73.91957532,401,22,006300,4009035,4006250048,QN70,POINT (-73.919575322108 40.766038761883)
SOTTO CASA,Brooklyn,298,ATLANTIC AVENUE,11201,7188528758,Pizza,11/23/2022,Establishment re-opened by DOHMH.,04M,Live roaches in facility's food or non-food area.,Critical,9,C,11/23/2022,4/22/2026,Cycle Inspection / Reopening Inspection,40.68840872,-73.98867769,302,33,004300,3000832,3001820004,BK38,POINT (-73.988677694927 40.688408722347)
CHINA PAGODA,Queens,47-20,30 AVENUE,11103,6467155678,Chinese,2/27/2023,Violations were cited in the following area(s).,09B,Thawing procedure improper.,Not Critical,13,A,2/27/2023,4/22/2026,Cycle Inspection / Re-inspection,40.76114258,-73.90916342,401,22,015100,4013384,4007290046,QN70,POINT (-73.909163419946 40.761142577522)
THEP,Manhattan,1439,2 AVENUE,10021,2128999995,Thai,4/16/2025,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,31,C,4/16/2025,4/22/2026,Cycle Inspection / Re-inspection,40.77065636,-73.95701938,108,04,013400,1044032,1014290028,MN31,POINT (-73.957019376219 40.770656360154)
JAIRO Y ANTHONY GROCERY DELI,Manhattan,2236,AMSTERDAM AVENUE,10032,3477014551,Spanish,12/27/2024,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,12,A,12/27/2024,4/22/2026,Cycle Inspection / Re-inspection,40.84180111,-73.93551225,112,10,025300,1063081,1021280051,MN36,POINT (-73.935512252445 40.841801111011)
Sesame Bakery,Brooklyn,5024,13 AVENUE,11219,7184270000,Jewish/Kosher,8/22/2024,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,31,C,8/22/2024,4/22/2026,Cycle Inspection / Re-inspection,40.63428478,-73.99289509,312,44,022000,3138047,3056480038,BK88,POINT (-73.992895093271 40.634284776915)
TROPICAL GRILL,Manhattan,2419,2 AVENUE,10035,7184065398,Latin American,1/31/2023,Violations were cited in the following area(s).,04M,Live roaches in facility's food or non-food area.,Critical,16,B,1/31/2023,4/22/2026,Cycle Inspection / Re-inspection,40.80221556,-73.9339723,111,08,024200,1087552,1017890021,MN34,POINT (-73.933972298467 40.802215559441)
BAMONTE'S,Brooklyn,32,WITHERS STREET,11211,7183848831,Italian,12/6/2023,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,12,A,12/6/2023,4/22/2026,Cycle Inspection / Initial Inspection,40.71672774,-73.95134022,301,33,051500,3068243,3027410013,BK73,POINT (-73.951340215867 40.716727740645)
BOZU,Brooklyn,296,GRAND STREET,11211,7183847770,Japanese,12/5/2022,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,11,A,12/5/2022,4/22/2026,Cycle Inspection / Initial Inspection,40.71297808,-73.95747154,301,34,052300,3062824,3023950011,BK73,POINT (-73.957471536068 40.712978079064)
ST JOHN'S UNIVERSITY FACULTY DINING ROOM,Queens,80-00,UTOPIA PARKWAY,11432,3477845200,American,3/15/2022,No violations were recorded at the time of this inspection.,,,Not Applicable,0,A,3/15/2022,4/22/2026,Cycle Inspection / Initial Inspection,40.72218143,-73.79033319,408,24,126700,4462481,4070210001,QN38,POINT (-73.790333193132 40.722181430104)
SINGAS FAMOUS PIZZA,Queens,260-21,HILLSIDE AVENUE,11004,7183474300,Pizza,12/11/2025,No violations were recorded at the time of this inspection.,,,Not Applicable,0,A,12/11/2025,4/22/2026,Cycle Inspection / Initial Inspection,40.7373915,-73.70805813,413,23,157902,4179400,4087720001,QN44,POINT (-73.708058127069 40.737391501988)
HOP KEE,Manhattan,21,MOTT STREET,10013,2129648365,Chinese,9/23/2022,Establishment re-opened by DOHMH.,,,Not Applicable,0,C,9/23/2022,4/22/2026,Cycle Inspection / Reopening Inspection,40.71436383,-73.99878436,103,01,002900,1001821,1001640045,MN27,POINT (-73.998784360399 40.71436383248)
TACO MIX,Brooklyn,220,36 STREET,11232,6466348763,Mexican,5/20/2022,Violations were cited in the following area(s).,09C,Food contact surface not properly maintained.,Not Critical,13,A,5/20/2022,4/22/2026,Cycle Inspection / Initial Inspection,40.65605362,-74.00733429,307,38,000200,3398687,3006950020,BK32,POINT (-74.007334290742 40.656053620103)
CARLA,Manhattan,331,WEST   51 STREET,10019,7187303199,Mexican,2/26/2023,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,10,A,2/26/2023,4/22/2026,Cycle Inspection / Initial Inspection,40.76337631,-73.98673721,104,03,013300,1025206,1010420018,MN15,POINT (-73.986737213005 40.763376312013)
ST. MAZIE,Brooklyn,345,GRAND STREET,11211,7183844807,American,1/20/2022,Violations were cited in the following area(s).,04M,Live roaches present in facility's food and/or non-food areas.,Critical,40,C,1/20/2022,4/22/2026,Cycle Inspection / Re-inspection,40.71243129,-73.95592443,301,34,051900,3062699,3023840027,BK73,POINT (-73.955924425532 40.712431285764)
CHOW,Queens,205-03,35 AVENUE,11361,3478368887,Chinese,11/29/2022,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,23,B,11/29/2022,4/22/2026,Cycle Inspection / Re-inspection,40.76674485,-73.78259671,411,19,109900,4135513,4060900025,QN46,POINT (-73.782596714362 40.766744846152)
HUNDRED TASTE,Queens,42-35,MAIN STREET,11355,7186619066,Chinese,8/11/2025,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,23,B,8/11/2025,4/22/2026,Cycle Inspection / Re-inspection,40.7544181,-73.82788125,407,20,085300,4573539,4051357502,QN22,POINT (-73.827881250044 40.754418104812)
GRAND SEAPORT BUFFET,Brooklyn,2027,EMMONS AVENUE,11235,9179167378,Chinese,3/8/2023,Violations were cited in the following area(s).,09B,Thawing procedure improper.,Not Critical,30,C,3/8/2023,4/22/2026,Cycle Inspection / Re-inspection,40.58371937,-73.94723252,315,48,060800,3392752,3087790053,BK17,POINT (-73.947232518173 40.583719371089)
CLAW DADDY'S,Manhattan,185,ORCHARD STREET,10002,6465906816,Seafood,11/12/2024,Violations were cited in the following area(s).,04M,Live roaches in facility's food or non-food area.,Critical,25,B,11/12/2024,4/22/2026,Cycle Inspection / Re-inspection,40.72198271,-73.98825348,103,01,003001,1087667,1004177501,MN27,POINT (-73.98825348134 40.721982713207)
HANCO'S,Brooklyn,147,MONTAGUE STREET,11201,6468296887,Southeast Asian,1/3/2024,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,7,A,1/3/2024,4/22/2026,Cycle Inspection / Initial Inspection,40.69457386,-73.99350169,302,33,000502,3339099,3002430013,BK09,POINT (-73.993501691853 40.694573857947)
